AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.47569042,.39947946,.4273589,.48492878,.44745207,.48964661,1.40493709,1.13595067,2.02914796,.87990691,.64334523,1.19727669,.70899455,.52420006,.52438701,.70663344,.63748704,.27558798,.27938801,.28302694,.28703611,.29110575,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,COGENERATION,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.08817536,1.12128769,1.13519449,1.03025206,1.06792056,1.151663,1.20405751,1.15365206,1.09074526,1.1250438,1.02053148,1.15432328,1.13301368,1.14116159,1.26094886,1.10529399,1.03570965,.87968075,.8886214,.89892464,.90923689,.92032857,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00051938,.00049627,.00053288,.00051386,.00049593,.00047597,.00046505,.00060537,.00059764,.0005827,.00057059,.00056045,.00055825,.00056333,.0005733,.00055505,.00052075,.00051131,.00050398,.00049683,.00049008,.00048355,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,0,,,,,,,,,,,,,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,8.41069392,7.73485641,7.76278851,6.67284815,7.78644049,9.61456207,9.66549499,5.42386236,3.97596271,3.31503783,3.48150474,4.06357562,4.02734691,3.9535156,4.08481102,5.71408382,4.51070103,4.80886264,4.87183424,4.93650773,4.99865489,5.04847363,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.09069795,.04813904,.04854177,.05044313,.03956624,.04535256,.03638754,.04716396,.03448219,.058232,.11757385,.03302408,.03203068,.03571836,.03847785,.03569978,.03519763,.03488401,.03499263,.03513163,.03526226,.03537744,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,2.59031466,1.69191417,1.92201596,2.38221558,2.34301521,2.40260872,2.19145499,2.46173783,1.32691438,1.48458607,1.4521889,1.12401939,1.33429399,.97201309,.9650549,1.09935987,.96835111,.92666901,.95286656,.97386301,.97844871,.98189806,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.31938729,.46093616,.37164367,.23146212,.24385051,.14768418,.13326825,.13340316,.12399875,.12604947,.11411247,.11368553,.12199977,.12142615,.12135056,.09745371,.09731541,.09659953,.09661741,.09667792,.0821887,.08224679,v1.03_RF3084
SANTA CLARA,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00094794,.00243835,.00343835,.00321096,.00160548,.00222465,0,.00339452,.00328493,.00370137,.00328767,.00310959,.00273151,.00606301,.00428159,.00630862,.00423252,.00364855,.00369358,.00373519,.00378159,.0038266,v1.03_RF3084
SANTA CLARA,STATIONARY,WASTE DISPOSAL,LANDFILLS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,.04023835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
