AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,COGENERATION,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,.00076158,.00141612,.00135832,0,0,0,.00164109,.00165811,.00167358,.00169059,.00170606,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,LANDFILLS,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,INCINERATORS,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,.13769354,.13786438,.13767016,.1376134,.13728172,.13728283,.13759503,.1384604,.13928738,.13981161,.14060463,.14186791,.14278781,.14434493,.14562267,.14582802,.14636728,.14597939,.14593542,.14523144,.14411119,.14367099,v1.03_RF3084
MARIN,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING),NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,,0,,,,,,,,,,,,v1.03_RF3084
MARIN,STATIONARY,INDUSTRIAL PROCESSES,CHEMICAL,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,INDUSTRIAL PROCESSES,FOOD AND AGRICULTURE,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,INDUSTRIAL PROCESSES,MINERAL PROCESSES,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,INDUSTRIAL PROCESSES,METAL PROCESSES,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,,0,0,,,,,,0,,,,,,,,,,,v1.03_RF3084
MARIN,STATIONARY,INDUSTRIAL PROCESSES,WOOD AND PAPER,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,INDUSTRIAL PROCESSES,OTHER (INDUSTRIAL PROCESSES),NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,.04596404,.04214835,0,0,0,.03736859,.03775601,.03810821,.03849564,.03884784,v1.03_RF3084
